code,current,name,name_short,gender,function,country,nationality,nationality_code,height,weight,disciplines,events,birth_date
1946429,True,HAASE SHIBAYAMA Takashi,HAASE SHIBAYAMA T,Male,Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1980-05-11
1946431,True,SATO Eiken,SATO E,Male,Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1986-01-08
1946432,True,KITAJIMA Ryuzo,KITAJIMA R,Male,Alternate Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1985-10-23
1946434,True,OIWA Yoshiaki,OIWA Y,Male,Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1976-07-19
1946435,True,KAWAI Mike,KAWAI M,Male,Alternate Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],['Jumping Team'],1998-06-18
1946436,True,SUGITANI Taizo,SUGITANI T,Male,Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1976-06-27
1946438,True,TOMOTO Kazuma,TOMOTO K,Male,Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1983-06-05
1946444,True,RABB Krisztian,RABB K,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],[Men's Sabre Team],2001-11-10
1946450,True,SIKLOSI Gergely,SIKLOSI G,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Men's Épée Individual, Men's Épée Team]",1997-09-04
1946558,True,SZATMARI Andras,SZATMARI A,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Men's Sabre Individual, Men's Sabre Team]",1993-02-03
1946565,True,SZILAGYI Aron,SZILAGYI A,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Men's Sabre Individual, Men's Sabre Team]",1990-01-14
1946571,True,SZUCS Luca Virag,SZUCS LV,Female,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Women's Sabre Individual, Women's Sabre Team]",2002-09-20
1946674,True,LUU Finn,LUU F,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Table Tennis'],"[Men's Singles, Men's Team]",2004-12-14
1946676,True,BAE Hwan,BAE H,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Table Tennis'],[Men's Team],2005-03-17
1946681,True,TAPPER Melissa,TAPPER M,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Table Tennis'],"[Women's Singles, Women's Team]",1990-03-01
1946682,True,BROMLEY Michelle,BROMLEY M,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Table Tennis'],[Women's Team],1987-12-24
1946683,True,LUM Nicholas,LUM N,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Table Tennis'],"[Men's Singles, Men's Team, 'Mixed Doubles']",2005-05-29
1946883,True,MAGOMEDOV Gashim,MAGOMEDOV G,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Taekwondo'],['Men -58kg'],1999-09-22
1946884,True,BASHTA Anna,BASHTA A,Female,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Fencing'],[Women's Sabre Individual],1996-07-10
1946886,True,DWICAHYO Ade Resky,DWICAHYO AR,Male,Athlete,Azerbaijan,Azerbaijan,AZE,174.0,0.0,['Badminton'],[Men's Singles],1998-05-13
1946887,True,AZZAHRA Keisha Fatimah,AZZAHRA KF,Female,Athlete,Azerbaijan,Azerbaijan,AZE,175.0,0.0,['Badminton'],[Women's Singles],2003-08-12
1946889,True,SKYDAN Hanna,SKYDAN H,Female,Athlete,Azerbaijan,Azerbaijan,AZE,183.0,0.0,['Athletics'],[Women's Hammer Throw],1992-05-14
1946894,True,HUSEYNOV Rafig,HUSEYNOV R,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Greco-Roman 87kg],1988-05-16
1946896,True,STADNIK Mariya,STADNIK M,Female,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Women's Freestyle 50kg],1988-12-03
1947115,True,GENTILI Giacomo,GENTILI G,Male,Athlete,Italy,Italy,ITA,0.0,0.0,['Rowing'],[Men's Quadruple Sculls],1997-07-03
1947134,True,MALUKA Ieva,MALUKA I,Female,Athlete,Latvia,Latvia,LAT,0.0,0.0,['Swimming'],[Women's 200m Individual Medley],2003-04-09
1947136,True,BOBROVS Daniils,BOBROVS D,Male,Athlete,Latvia,Latvia,LAT,0.0,0.0,['Swimming'],[Men's 200m Breaststroke],1997-10-08
1947140,True,PATRIKA Dzeja Delanija,PATRIKA DD,Female,Athlete,Latvia,Latvia,LAT,0.0,0.0,['Diving'],[Women's 10m Platform],2001-07-22
1947155,True,CARRACHER Izac,CARRACHER I,Male,Athlete,Australia,Australia,AUS,199.0,0.0,['Beach Volleyball'],['Men'],1999-09-14
1947159,True,ARTACHO del SOLAR Mariafe,ARTACHO del SOLAR,Female,Athlete,Australia,Australia,AUS,175.0,0.0,['Beach Volleyball'],['Women'],1993-10-24
1947160,True,NICOLAIDIS Mark,NICOLAIDIS M,Male,Athlete,Australia,Australia,AUS,184.0,0.0,['Beach Volleyball'],['Men'],2000-07-20
1947163,True,CLANCY Taliqua,CLANCY T,Female,Athlete,Australia,Australia,AUS,184.0,0.0,['Beach Volleyball'],['Women'],1992-06-25
1947164,True,HODGES Thomas,HODGES T,Male,Athlete,Australia,Australia,AUS,196.0,0.0,['Beach Volleyball'],['Men'],1994-07-04
1947165,True,SCHUBERT Zachery,SCHUBERT Z,Male,Athlete,Australia,Australia,AUS,198.0,0.0,['Beach Volleyball'],['Men'],1995-12-23
1947168,True,MAMMADOV Murad,MAMMADOV M,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Greco-Roman 60kg],1995-08-12
1947172,True,MESHVILDISHVILI Giorgi,MESHVILDISHVILI G,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Freestyle 125kg],1992-05-13
1947180,True,BAYRAMOV Turan,BAYRAMOV T,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Freestyle 74kg],2001-01-11
1947181,True,NURMAGOMEDOV Osman,NURMAGOMEDOV O,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Freestyle 86kg],1998-05-21
1947183,True,ALIYEV Haji,ALIYEV H,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Freestyle 65kg],1991-04-21
1947185,True,RZAZADE Aliabbas,RZAZADE A,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Freestyle 57kg],1998-05-21
1947191,True,SHARIATI Sabah Saleh,SHARIATI SS,Male,Athlete,Azerbaijan,Azerbaijan,AZE,0.0,0.0,['Wrestling'],[Men's Greco-Roman 130kg],1989-01-01
1947212,True,CIKAMATANA Eileen,CIKAMATANA E,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Weightlifting'],[Women's 81kg],1999-09-18
1947213,True,NICHELE Jacqueline,NICHELE J,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Weightlifting'],[Women's 71kg],2000-03-07
1947215,True,BRUCE Kyle,BRUCE K,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Weightlifting'],[Men's 89kg],1999-07-12
1947235,True,GRAUDINA Tina,GRAUDINA T,Female,Athlete,Latvia,Latvia,LAT,184.0,0.0,['Beach Volleyball'],['Women'],1998-03-09
1947236,True,SAMOILOVA Anastasija,SAMOILOVA A,Female,Athlete,Latvia,Latvia,LAT,178.0,0.0,['Beach Volleyball'],['Women'],1997-01-19
